Year,Current Course,Technical Skill,Programming Languages,Rating,Soft Skills,Rating.1,Projects,Career,Interest,Challenges,Support-required,Student-Linguistic,Musical,Bodily,Logical - Mathematical,Spatial-Visualization,Interpersonal,Intrapersonal,Naturalist,Score,Recommended Job
2.0nd,MBA,Cybersecurity/Blockchain,Python/R/C#,2,Communication/Adaptability/Problem-Solving,1,Yes,Data Scientist,Interview anxiety,Mentorship programs,11,5,12,16,17,11,18,19,5,30,Business Analyst
1.0st,Computer Science,Web Development,JavaScript/HTML/CSS,3,Communication/Teamwork,2,Yes,Front-end Developer,UI/UX Design,Time management,Technical workshops,14,8,7,15,16,12,14,6,92,Web Developer
3.0rd,Data Science,Machine Learning,Python/R/SQL,4,Problem-Solving/Critical Thinking,4,Yes,Machine Learning Engineer,AI Research,Technical complexity,Research funding,9,6,8,19,13,10,17,7,89,Data Scientist
2.0nd,IT,Cloud Computing,Java/Python/AWS,3,Leadership/Adaptability,3,Yes,Cloud Architect,Infrastructure design,Work-life balance,Certification support,10,7,9,16,12,15,14,5,88,DevOps Engineer
4.0th,Cybersecurity,Network Security,C++/Python/Bash,5,Communication/Analytical Thinking,4,Yes,Security Analyst,Ethical hacking,Keeping up with threats,Advanced training,12,5,10,17,14,11,16,8,93,Cybersecurity Analyst
1.0st,MBA,Business Intelligence,SQL/Python/Tableau,2,Presentation/Negotiation,3,No,Product Manager,Market analysis,Stakeholder management,Leadership coaching,15,9,8,14,13,17,15,6,97,Business Intelligence Analyst
3.0rd,Computer Engineering,Embedded Systems,C/C++/Assembly,4,Problem-Solving/Detail-oriented,3,Yes,Embedded Systems Engineer,IoT development,Hardware limitations,Lab equipment,8,6,12,18,15,9,14,7,89,Hardware Engineer
2.0nd,Information Systems,Database Management,SQL/Oracle/MongoDB,3,Organization/Teamwork,4,Yes,Database Administrator,Data optimization,System performance,Database certifications,11,7,8,16,12,14,15,5,88,Database Administrator
Final,AI/ML,Deep Learning,Python/TensorFlow/PyTorch,5,Research/Analytical Thinking,4,Yes,AI Researcher,Computer Vision,Algorithm complexity,GPU computing resources,10,6,7,19,16,11,18,8,95,Machine Learning Engineer
1.0st,Software Engineering,Mobile Development,Java/Kotlin/Swift,3,Creativity/User Empathy,3,Yes,Mobile App Developer,App design,Platform compatibility,Design resources,13,10,9,15,17,14,13,6,97,Mobile Developer
